Longitude,Latitude
36.1762895,-94.5502756
36.1780418,-94.5502019
36.1780661,-94.5518982
36.178086,-94.5536096
36.1780868,-94.5536743
36.1781084,-94.5543529
36.1781335,-94.5551423
36.1781386,-94.5554151
36.1781604,-94.5565742
36.1781803,-94.5575137
36.1781883,-94.5578895
36.1782088,-94.5585431
36.1783736,-94.5588715
36.178829,-94.5591014
36.1801358,-94.5590881
36.1811454,-94.5590656
36.1813989,-94.55906
36.1818962,-94.5590373
36.1822324,-94.5590297
36.1842664,-94.5589683
36.184602,-94.558962
36.1854619,-94.5589274
36.1861358,-94.5589097
36.1872845,-94.5588608
36.1877983,-94.5593467
