Latitude,Longitude
36.1877983,-94.5593467
36.1872845,-94.5588608
36.1872182,-94.5577199
36.1871741,-94.5570399
36.187217,-94.555237
36.1872128,-94.5544161
36.1863127,-94.5466622
36.1863132,-94.545565
36.186289,-94.544533
36.186001,-94.542882
36.1859859,-94.5424621
36.1859851,-94.5415276
36.1855509,-94.5415314
36.185093,-94.5415548
36.184657,-94.5415244
36.1842183,-94.5414603
36.1842183,-94.5406774
36.1837806,-94.5399418
36.1839696,-94.5389383
36.1840675,-94.5387098
36.184119,-94.537242
36.1841061,-94.536628
36.1840928,-94.5359973
36.1840875,-94.5347399
36.1840847,-94.5341004
36.184082,-94.5334707
36.1840641,-94.5329767
36.18406,-94.5328865
36.1840568,-94.5328342
36.1840218,-94.5325109
36.1839966,-94.5323294
36.1839534,-94.5321852
36.1838401,-94.5318346
36.1817228,-94.5286223
36.1814954,-94.527873
36.1813946,-94.5273792
36.1813246,-94.5259998
36.181318,-94.5256563
36.181299,-94.524562
36.1812643,-94.5234133
36.1812233,-94.5214389
36.1821937,-94.5209098
36.182208,-94.5202785
36.1822051,-94.5201347
36.1822018,-94.5199686
36.1821911,-94.5194314
36.1821739,-94.518736
36.1821708,-94.5186103
36.1821641,-94.5183369
36.182154,-94.5179272
36.1821478,-94.5176774
36.1821344,-94.5171361
36.182131,-94.5169981
36.1821183,-94.5164858
36.1821005,-94.5157657
36.1819558,-94.515396
36.18188,-94.5152402
36.1818354,-94.5143346
36.1828395,-94.5142944
36.1840068,-94.5142743
36.1839802,-94.5138815
36.1834123,-94.5115508
